Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
0.609584214235377,1.0,,0.5070422535211268,0.0,0.21517333333333333,0.017018616583481583,0.29340001463575466,0.3,0.6,1.0948161450346467e-05,0.230445466267669,26.86,0.8511940684541771,0.10373443983402382
0.22269203664552503,0.6666666666666666,,0.4788732394366197,0.0,0.351,0.24105542962628831,0.03675904093598666,1.0,1.0,1.8789310222303662e-05,0.6418752889083522,6.2475,0.8474006379860329,0.19087136929461893
0.6546863988724453,1.0,,0.5774647887323944,0.0,0.006474666666666667,0.04086851175428149,0.2808198434522401,0.3,0.6,0.06162306485315805,0.45514925917816224,24.642,0.8395551340632816,0.0871369294605951
0.023960535588442564,0.0,,0.04929577464788732,0.0,0.0803288888888889,0.12035420802185959,0.0,0.0,0.0,0.025983895577145998,0.7204583607035981,0.00097984,0.8311923441676006,0.11203319502076177
0.0070472163495419295,0.0,,0.0,0.0,0.12551555555555555,0.022541529870902275,0.1629883141446895,0.0,0.0,0.01607083805294578,0.8289662555044642,0.00099295,0.8465384946978188,0.13278008298754765
0.536997885835095,1.0,,0.5774647887323944,0.0,0.5533777777777777,0.0034669961077963825,0.07067890990487033,0.0,0.6,7.09381585619175e-06,0.348466048706907,22.463,0.8624881455297867,0.041493775933618963
0.6617336152219873,1.0,,0.5070422535211268,0.0,0.1502,0.09376528276374116,0.028026922114488328,0.3,0.6,7.450367008322233e-06,0.39067707953190756,29.438,0.8486076385895335,0.04564315352697614
0.3960535588442565,1.0,,0.5774647887323944,0.0,0.21238222222222222,0.1385765326420771,0.0,0.2,0.7999999999999998,1.3192286322580962e-05,0.5618324696494172,13.648,0.8497284248642127,0.0539419087136905
0.5863284002818886,1.0,,0.5070422535211268,0.0,0.16134222222222222,0.05164222944490235,0.018332242046878812,0.8,0.6,1.1891097860423207e-05,0.5999075493272997,26.859,0.8422277782567464,0.016597510373452303
0.18957011980267796,0.6666666666666666,,0.4014084507042254,0.0,0.2053288888888889,0.08832609528684984,0.0014114732805660475,1.0,1.0,1.9972498750393186e-05,0.6915067026737708,5.466,0.842400206914389,0.08298755186721433
0.463706835799859,1.0,,0.5774647887323944,0.0,0.18295999999999998,0.0017661660710422472,8.139836687999968e-05,0.2,0.7999999999999998,7.723361450382783e-06,0.6461328856774445,19.55,0.8362789895680665,0.04564315352697614
0.7723749119097956,0.7777777777777778,,0.6830985915492958,0.0,0.22862666666666667,0.019857818622683505,0.28084725123259635,0.5,0.6,1.1980395107826189e-05,0.5705909544315501,33.856,0.8517113544271061,0.11203319502076177
0.5926708949964763,1.0,,0.6830985915492958,0.0,0.18413333333333334,0.07414503612843479,0.02681960938979592,0.8,0.6,9.438612744248419e-06,0.7525728049047515,25.097,0.8446417794637469,0.02904564315352384
0.679351656095842,1.0,,0.5070422535211268,0.0,0.20539555555555555,0.020152354063295814,0.1825766547652948,0.3,0.6,1.3865204865510586e-05,0.4833710434761453,27.633,0.8716268643848606,0.07468879668049998
0.3136011275546159,0.6666666666666666,,0.5774647887323944,0.0,0.26177333333333336,0.049731486840320964,0.0,0.2,1.0,1.2758556835195043e-05,0.7113349390555433,10.794,0.8455039227519616,0.07883817427385716
0.7329105003523608,0.7777777777777778,,0.7887323943661971,0.0,0.019403555555555556,0.026203038977803537,0.22138607174973188,0.5,0.6,0.05875598537404084,0.6719217575359463,29.132,0.8520562117423919,0.033195020746904606
0.24735729386892177,0.6666666666666666,,0.5352112676056338,0.0,0.26295999999999997,0.008168349879397454,0.0,1.0,1.0,1.695765358807342e-05,0.9712916332141207,8.8478,0.8428312785584967,0.06639004149378562
0.0,0.0,,0.0,0.0,0.0,0.0,0.22508612209782436,0.0,0.0,0.01387880324169636,0.848916137508211,0.00099861,0.8619708595568585,0.13278008298754765
0.2797744890768147,0.6666666666666666,,0.08450704225352113,0.0,0.3604044444444444,0.00039956647971390886,0.09676837602597599,0.2,1.0,1.0942101994272696e-06,0.9689803663966134,7.0154,0.8493835675489262,0.04979253112033332
0.5947850599013389,1.0,,0.5070422535211268,0.0,0.007918222222222222,0.08861465031242435,0.0044781572324061915,0.8,0.6,0.05958304797498752,0.6890737902342895,21.475,0.837830847486852,0.012448132780095123
0.3417899929527836,1.0,,0.5774647887323944,0.0,0.23007111111111112,0.0837764945468333,0.0,0.2,1.0,9.936125979779325e-06,0.677274164902805,14.514,0.8466247090266401,0.08298755186721433
0.42071881606765327,1.0,,0.5774647887323944,0.0,0.3857288888888889,0.03736099833460392,0.010696708517433675,0.2,0.7999999999999998,5.564494188168755e-06,0.4339829209546747,17.048,0.8317958444693508,0.05809128630707126
0.8054968287526426,0.7777777777777778,,0.5070422535211268,0.0,0.30567555555555553,8.907230157319302e-05,0.20007378174471896,0.5,0.6,1.3662159933915707e-05,0.64151035204243,30.001,0.857142857142857,0.05809128630707126
0.07470049330514446,0.5555555555555556,,1.0,0.0,1.0,0.3936905724288813,0.0,0.0,0.1999999999999999,0.00026189787708951823,0.21455854803785618,0.00091783,0.7716182429519788,0.12033195020747613
0.023960535588442564,0.0,,0.04929577464788732,0.0,0.23376444444444444,0.11949153315265501,0.0,0.0,0.0,0.019013394967367894,0.6979539206383961,0.00097906,0.8246400551771703,0.107883817427381
0.29880197322057783,0.6666666666666666,,0.5774647887323944,0.0,0.2591777777777778,0.11133723724859643,2.1816045007960587e-06,0.2,1.0,8.551912338786177e-06,0.6907768289419264,12.472,0.8594706440210361,0.07883817427385716
