Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
173.8,75,100,80,0.0,48.414,11.383,107.05,150,0.9,0.0011807,9.5108,26.86,6.508,298.08
64.0,60,100,76,0.0,78.975,161.23,13.412,500,1.1,0.0019183,12.893,6.2475,6.5036,298.29
186.6,75,100,90,0.0,1.4568,27.335,102.46,150,0.9,5.7969,11.358,24.642,6.4945,298.04
7.6,30,100,15,0.0,18.074,80.499,0.0001,0,0.6,2.4444,13.539,0.00097984,6.4848,298.1
2.8,30,100,8,0.0,28.241,15.077,59.468,0,0.6,1.5119,14.431,0.00099295,6.5026,298.15
153.2,75,100,90,0.0,124.51,2.319,25.788,0,0.9,0.00081813,10.481,22.463,6.5211,297.93
188.6,75,100,80,0.0,33.795,62.715,10.226,150,0.9,0.00085167,10.828,29.438,6.505,297.94
113.2,75,100,90,0.0,47.786,92.687,0.0001,100,1.0,0.0013918,12.235,13.648,6.5063,297.96
167.2,75,100,80,0.0,36.302,34.541,6.6888,400,0.9,0.0012694,12.548,26.859,6.4976,297.87
54.6,60,100,65,0.0,46.199,59.077,0.51509,500,1.1,0.0020296,13.301,5.466,6.4978,298.03
132.4,75,100,90,0.0,41.166,1.1814,0.029799,100,1.0,0.00087735,12.928,19.55,6.4907,297.94
220.0,65,100,105,0.0,51.441,13.282,102.47,250,0.9,0.0012778,12.307,33.856,6.5086,298.1
169.0,75,100,105,0.0,41.43,49.592,9.7855,400,0.9,0.0010387,13.803,25.097,6.5004,297.9
193.6,75,100,80,0.0,46.214,13.479,66.615,150,0.9,0.0014551,11.59,27.633,6.5317,298.01
89.8,60,100,90,0.0,58.899,33.263,0.0001,100,1.1,0.001351,13.464,10.794,6.5014,298.02
208.8,65,100,120,0.0,4.3658,17.526,80.775,250,0.9,5.5272,13.14,29.132,6.509,297.91
71.0,60,100,84,0.0,59.166,5.4635,0.0001,500,1.1,0.001746,15.601,8.8478,6.4983,297.99
0.8,30,100,8,0.0,0.0,0.0001,82.125,0,0.6,1.3057,14.595,0.00099861,6.5205,298.15
