Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K)
163.8,75,100,80,0.0,34.374,47.242,1.1173,400,0.9,0.00081196,12.494,27.095,6.5021,297.91
113.2,75,100,90,0.0,127.9,24.307,0.0001,100,1.0,0.0012268,12.009,19.35,6.5088,297.98
37.4,55,100,47,0.0,56.109,120.83,0.0001,0,0.9,0.0026163,11.591,1.8188,6.5163,297.99
5.4,30,100,15,0.0,31.171,25.358,0.0001,0,0.6,2.2118,14.078,0.00098526,6.5181,298.02
94.6,75,100,90,0.0,52.919,30.606,0.0001,100,1.1,0.0010059,12.469,12.34,6.4963,297.97
182.2,75,100,80,0.0,37.394,0.7242,56.532,150,0.9,0.0012025,12.044,26.633,6.4993,297.97
60.6,60,100,76,0.0,75.295,48.243,0.0001,500,1.1,0.0019326,13.672,6.8848,6.5049,297.98
10.8,42,100,15,0.0,70.546,308.81,0.0001,0,0.6,0.0099912,13.079,0.00096755,6.563,297.91
26.6,55,100,30,0.0,86.862,283.37,0.00037258,0,0.8,0.0023662,12.843,0.33616,6.4579,297.96
211.0,65,100,20,1.5564,0.11957,55.122,1.2182,250,0.9,85.815,14.089,4.3545,6.6,297.84
25.0,55,100,30,0.51752,107.01,552.39,0.62346,0,0.7,0.0030065,12.183,0.096439,6.5866,298.32
181.6,75,100,105,0.0,4.3422,71.057,1.3476,150,0.9,32.742,12.629,12.095,6.4992,297.95
174.8,75,100,80,0.0,51.35,12.668,65.645,150,0.9,0.0011938,12.457,25.461,6.4851,298.0
2.8,30,100,8,0.0,30.629,16.853,0.0332,0,0.6,1.6381,14.326,0.00099302,6.5034,297.95
95.6,75,100,90,0.0,64.886,34.582,0.0001,100,1.1,0.0011774,12.531,14.152,6.4975,298.0
62.6,60,100,76,0.0,60.955,27.809,0.0001,500,1.1,0.0019098,13.252,7.0218,6.5092,297.99
129.6,75,100,90,0.0,78.228,16.062,3.7622,100,1.0,0.00058918,13.293,19.799,6.5087,297.91
58.2,60,100,72,0.0,77.366,27.453,0.0001,500,1.1,0.0023033,13.858,5.7996,6.5017,297.96
78.0,60,100,116,0.0,131.1,104.97,0.0001,100,1.1,0.0019186,12.848,10.04,6.4965,298.04
38.6,55,100,47,0.0,56.588,114.8,0.0001,0,0.9,0.0026138,7.2508,2.0451,6.5028,297.98
79.6,60,100,116,0.0,97.874,203.12,0.0001,100,1.1,0.0019074,14.333,11.168,6.5167,298.1
18.2,42,100,75,0.0,57.997,220.29,0.0001,0,0.7,0.021399,11.532,0.0009454,6.5174,298.07
191.4,75,100,80,0.0,19.661,20.606,0.63835,150,0.9,0.0016579,12.501,29.869,6.4566,297.89
4.8,30,100,15,0.0,40.097,41.758,0.0001,0,0.6,1.6938,13.83,0.00098719,6.5018,298.07
228.2,65,100,30,0.0,12.945,35.764,6.3372,250,0.9,9.3931,13.424,22.55,6.501,297.87
56.2,60,100,72,0.0,71.845,24.851,0.0001,500,1.1,0.0021444,13.931,5.6866,6.5019,298.0
216.6,65,100,80,0.0,5.9193,31.679,256.91,250,0.9,15.188,11.942,24.276,6.4855,298.43
64.0,60,100,76,0.0,48.44,97.837,0.0001,500,1.1,0.0016626,14.031,8.1199,6.5018,297.98
12.8,42,100,30,0.0,23.85,143.47,0.18848,0,0.7,0.012394,13.177,0.0009605,6.4847,297.99
